Team,Season,AB,PA,H_x,1B,2B,3B,HR_x,R_x,RBI,BB_x,IBB,SO_x,HBP_x,SF,SH,GDP,SB,CS,ERA,WHIP,SO_y,W,L,SV,WAR,G,GS,CG,IP,H_y,R_y,ER,HR_y,BB_y,HBP_y,WP,BK,GB,FB,LD,Balls,Strikes,Pitches,RS
8,2023,4370,4797,1081,690,233,28,130,565,558,346,5,1278,44,29,8,92,72,23,6.737777777777778,1.9866666666666666,880,51,79,19,5.6,566,124,0,1144.3999999999999,1286,749,696,177,455,70,35,6,1548,1352,752,6979,12122,19101,586
8,2024,5150,5699,1237,779,259,25,174,656,619,436,18,1553,47,43,19,113,85,31,10.225666666666665,2.2426666666666666,1003,53,90,28,2.5999999999999996,565,156,0,1295.8,1473,848,795,209,505,64,51,4,1806,1460,886,8054,13935,21989,617
9,2021,5256,5851,1275,834,231,37,173,685,662,484,8,1485,44,50,17,112,88,25,4.484074074074074,1.4925925925925925,1216,76,82,41,9.0,700,162,2,1372.7,1330,727,653,195,554,80,77,3,1824,1481,804,8581,14674,23255,677
9,2022,5105,5550,1184,828,222,26,108,533,507,342,8,1323,52,41,10,106,44,23,3.981034482758621,1.3355172413793102,1121,58,90,36,9.0,663,160,0,1322.0,1260,666,597,158,473,47,55,2,1655,1544,779,7945,13977,21922,521
9,2023,5088,5659,1214,798,232,26,158,623,592,482,9,1356,48,29,11,93,80,20,4.930000000000001,1.3684615384615384,1238,72,75,41,12.5,616,144,0,1277.7,1162,656,602,168,425,45,44,3,1559,1395,694,7367,13597,20964,584
9,2024,4633,5103,1081,681,213,45,142,592,548,396,9,1289,34,30,4,66,71,24,3.7128571428571426,1.1385714285714286,1109,74,67,43,13.7,564,144,1,1238.0,1084,551,500,134,352,49,30,3,1573,1310,694,6825,12973,19798,601
10,2021,5112,5749,1380,874,284,12,210,795,771,520,25,1120,58,49,8,124,33,10,5.699166666666667,1.49,1343,87,59,34,15.9,559,162,2,1329.1,1112,593,550,173,507,58,68,4,1624,1277,725,8236,13784,22020,797
10,2022,4808,5397,1221,749,262,11,199,673,657,485,18,1038,56,36,6,98,75,16,3.4485,1.318,1454,102,51,53,25.2,606,150,3,1358.2,1046,479,432,127,437,58,54,5,1536,1333,673,7616,14042,21658,694
10,2023,5505,6180,1429,909,278,22,220,819,789,540,17,1229,72,39,14,122,107,32,5.9605,1.5995000000000001,1362,81,67,42,14.0,629,151,2,1336.2,1221,659,597,187,504,70,34,4,1561,1434,711,8352,14136,22488,751
10,2024,5306,5854,1396,944,254,15,183,708,672,425,25,1097,64,45,11,131,90,23,8.535185185185187,1.965185185185185,1349,81,70,42,13.0,615,151,2,1311.2,1134,591,547,167,512,55,44,9,1500,1363,715,8078,13974,22052,687
11,2021,4862,5359,1234,836,224,25,149,626,592,371,8,1102,49,48,28,87,116,29,4.771851851851852,1.3966666666666667,1298,69,86,37,12.8,664,161,1,1350.8999999999999,1318,758,703,182,574,61,83,9,1658,1435,827,8822,14523,23345,649
11,2022,4308,4748,1035,693,191,32,119,507,487,341,6,1093,44,34,20,77,85,29,6.841666666666666,1.8187499999999999,1074,62,90,33,8.0,624,158,0,1278.8999999999999,1341,725,666,159,531,60,78,6,1710,1403,827,8307,13781,22088,582
11,2023,5079,5581,1247,813,245,40,149,623,607,373,12,1311,59,57,10,90,159,45,4.809655172413793,1.4765517241379311,977,38,92,13,3.4,520,141,3,1143.5,1195,736,694,184,444,60,54,5,1448,1364,694,7260,12182,19442,539
11,2024,5180,5721,1292,838,258,34,162,709,686,412,22,1077,51,52,23,92,133,30,4.153333333333333,1.305,1272,83,73,29,18.2,622,156,2,1350.8,1242,616,572,143,448,67,38,2,1677,1450,749,8015,14164,22179,692
12,2021,4627,5149,1138,724,226,22,166,623,600,424,34,1239,48,22,27,88,67,24,7.355151515151515,1.8336363636363635,1209,66,69,39,13.2,603,134,1,1192.3,1143,654,601,155,501,66,48,10,1549,1165,696,7546,12848,20394,600
12,2022,4816,5312,1143,738,204,26,175,561,541,405,27,1308,49,21,20,88,67,25,5.654,1.8653333333333333,1236,64,70,22,14.9,574,139,2,1263.6,1081,571,515,145,482,52,59,3,1491,1313,713,7528,13265,20793,566
12,2023,4371,4940,1088,679,194,22,193,612,584,448,27,1236,72,36,8,85,72,30,5.003333333333333,1.871,1217,60,75,37,10.9,490,156,1,1212.4,1182,704,622,173,547,74,61,8,1401,1383,712,7716,13396,21112,622
12,2024,4981,5561,1142,763,208,13,158,591,552,457,4,1328,77,32,11,102,121,45,5.0858823529411765,1.5041176470588236,1108,54,90,9,5.4,528,158,0,1262.8999999999999,1196,722,659,184,547,73,51,11,1555,1453,711,7828,13355,21183,580
13,2021,4872,5600,1190,732,223,23,212,753,718,559,27,1263,99,39,31,80,53,15,4.696785714285714,1.5825,1396,93,52,54,24.4,638,149,1,1263.0,970,488,425,139,430,51,44,9,1457,1186,615,6853,13212,20065,729
13,2022,5126,5780,1327,808,302,28,189,782,744,550,22,1203,49,50,3,79,93,17,3.115,1.0725,1342,105,46,40,23.3,646,152,1,1325.2,1011,459,402,138,370,69,29,3,1516,1402,614,6910,13700,20610,786
13,2023,5104,5866,1321,785,284,18,234,852,805,607,28,1256,80,64,5,87,95,21,6.5832,1.4268,1082,81,49,39,14.6,539,137,0,1113.8,960,515,482,148,347,59,38,3,1336,1164,587,6193,11693,17886,716
13,2024,5081,5759,1330,815,273,23,219,781,756,563,33,1217,57,47,6,94,128,20,4.130357142857143,1.2853571428571429,1129,72,52,41,13.6,571,132,1,1106.9,979,526,478,151,362,35,54,5,1284,1195,588,6349,11563,17912,642
14,2021,4338,4799,1008,681,186,18,123,482,468,357,22,1251,47,25,27,79,75,22,6.211153846153847,1.6184615384615384,1148,52,77,18,15.2,568,142,1,1167.3,1049,564,498,128,434,69,48,2,1495,1093,676,6598,12360,18958,508
14,2022,4852,5354,1115,742,226,19,128,520,502,399,4,1275,66,31,3,111,103,25,4.44962962962963,1.397037037037037,1335,64,89,40,14.1,592,162,6,1326.7,1208,620,569,163,480,71,49,3,1656,1258,769,7778,14438,22216,532
14,2023,4794,5278,1231,851,225,22,133,585,533,383,22,1090,41,34,22,143,86,21,7.397307692307692,1.82,1394,76,67,32,17.4,621,160,3,1338.8,1232,660,617,183,468,68,33,9,1648,1369,697,7849,14297,22146,627
14,2024,3415,3736,853,599,153,13,88,406,377,240,9,835,32,30,18,78,89,30,6.807333333333333,1.5766666666666667,926,41,68,9,3.7,468,127,1,998.1,1027,625,573,155,394,69,30,5,1282,1134,583,6465,10776,17241,476
15,2021,4360,4980,999,640,195,14,150,602,550,479,21,1201,83,31,24,86,77,19,8.309310344827587,1.9020689655172414,1488,88,61,43,24.0,582,162,2,1310.4,1065,558,503,148,474,74,47,9,1532,1121,726,7922,13903,21825,679
15,2022,5393,6096,1269,783,251,17,218,721,699,576,25,1458,80,36,11,117,95,30,5.5600000000000005,1.422962962962963,1391,82,66,18,15.4,610,159,0,1335.5,1150,624,559,165,481,62,42,4,1611,1290,733,8296,14295,22591,684
15,2023,4782,5394,1153,764,231,15,143,647,609,524,14,1279,44,36,6,127,123,26,4.708888888888889,1.5592592592592593,1348,88,64,46,16.4,594,162,1,1347.4,1129,586,540,185,450,46,50,8,1607,1385,712,7986,14039,22025,684
15,2024,5446,6143,1355,896,249,33,177,775,742,596,19,1450,46,34,15,97,216,41,4.0384,1.3568,1143,79,61,50,12.6,582,136,0,1202.1,1074,524,479,154,401,55,35,10,1409,1339,660,6992,12577,19569,620
16,2021,5133,5730,1224,741,258,16,209,684,640,490,11,1340,65,35,7,112,51,15,4.44923076923077,1.3065384615384614,998,57,65,31,5.6,556,115,0,1064.4,1045,600,550,180,352,44,36,3,1283,1194,649,6198,11518,17716,548
16,2022,5410,6035,1346,884,266,18,178,684,664,508,11,1324,62,46,8,132,35,16,4.271034482758621,1.3768965517241378,1203,72,76,23,12.1,605,153,0,1271.0,1166,599,555,161,398,53,40,4,1455,1498,715,7207,13707,20914,632
16,2023,5426,6146,1323,807,261,24,231,768,741,585,13,1635,91,32,12,118,84,18,4.829615384615385,1.2888461538461538,1516,81,72,35,21.2,593,162,2,1391.1,1237,626,593,186,425,53,49,1,1541,1527,686,7771,14900,22671,733
16,2024,5490,6123,1352,837,309,23,183,742,702,473,15,1306,101,47,10,115,65,23,3.9440000000000004,1.2696666666666665,1457,82,78,42,18.5,665,162,1,1392.8999999999999,1299,715,662,188,407,62,39,5,1568,1585,772,7859,15146,23005,732
17,2021,4859,5469,1158,774,207,16,161,582,560,469,24,1274,88,23,30,114,48,24,7.0371875,1.609375,1295,73,78,38,15.8,617,145,2,1205.2,1042,577,517,168,421,59,49,1,1395,1159,661,6926,12652,19578,573
17,2022,4861,5460,1287,862,245,24,156,688,661,434,24,1018,104,40,20,105,57,21,4.42,1.3615384615384616,1516,95,59,41,21.6,603,160,0,1386.0,1226,569,540,160,405,68,34,2,1614,1378,728,7902,14593,22495,742
17,2023,4759,5362,1124,724,188,17,195,645,610,456,10,1196,97,28,18,91,98,14,5.855925925925926,1.5914814814814815,1032,50,69,18,7.0,502,127,1,1050.4,1030,574,530,137,476,69,48,8,1333,1092,602,7174,11318,18492,538
17,2024,5280,5905,1304,817,271,15,201,735,714,491,11,1329,89,34,7,102,105,21,4.998461538461539,1.348076923076923,1304,83,63,36,13.6,545,157,1,1280.5,1080,600,549,148,520,81,55,7,1533,1298,640,7932,13544,21476,698
18,2021,4916,5573,1185,777,196,12,200,637,621,565,13,1347,52,30,9,146,59,18,3.8795454545454544,1.3145454545454547,1388,76,59,44,21.3,508,156,3,1238.0,1060,555,504,163,420,49,69,7,1336,1337,619,7315,13330,20645,623
18,2022,4933,5619,1210,758,207,6,239,749,711,562,36,1223,69,37,13,120,90,31,3.8274999999999997,1.56,1238,89,53,42,18.1,561,130,1,1191.8,945,458,429,130,367,46,28,5,1387,1207,589,6699,12438,19137,679
18,2023,4860,5467,1110,689,207,13,201,611,593,524,18,1319,44,30,8,111,83,28,4.540357142857142,1.3267857142857142,1401,80,79,43,14.5,645,159,3,1398.3,1245,686,625,190,491,85,58,15,1706,1470,741,8260,15040,23300,659
18,2024,5253,6029,1300,824,235,15,226,784,758,654,26,1272,49,56,14,134,69,24,4.7784615384615385,1.6915384615384614,1272,83,61,40,14.2,503,162,0,1240.3999999999999,1072,552,508,158,462,75,30,8,1388,1388,627,7875,13444,21319,684
19,2021,4694,5358,1111,675,235,17,184,656,616,519,17,1210,85,45,15,87,57,15,4.198571428571428,1.341904761904762,1227,80,69,34,14.4,584,156,3,1322.8,1251,630,589,172,395,64,55,2,1559,1495,810,7466,13905,21371,702
19,2022,4701,5199,1003,654,213,14,122,493,477,388,7,1261,55,32,21,94,66,16,5.280740740740741,1.4659259259259259,987,50,81,24,1.2999999999999998,599,134,0,1205.7,1177,666,625,168,437,67,55,5,1497,1487,703,7253,12595,19848,487
19,2023,4805,5396,1077,694,208,16,159,531,514,445,11,1346,78,33,27,114,130,30,6.9825,1.7780555555555557,1185,44,101,28,1.4,595,153,0,1301.4,1346,837,780,197,633,85,68,4,1463,1654,810,8891,14460,23351,533
